scientificName,kingdom,taxon_key
Peromyscus maniculatus,,2437967
Rattus fuscipes,,2439233
Sciurus vulgaris,,8211070
Myotis brandtii,,7261875
Artibeus jamaicensis,,2433272
Rhinolophus hipposideros,,2432614
Pteropus poliocephalus,,5218655
Mustela erminea,,5219019
Canis lupus,,5219173
Mirounga leonina,,2434814
Phoca vitulina,,2434793
Capreolus capreolus,,5220126
Capra ibex,,2441055
Sus scrofa,,7705930
Macropus giganteus,,5219981
Trichosurus vulpecula,,2440254
Pseudocheirus peregrinus,,2440062
Lepus europaeus,,7952072
Ochotona princeps,,2436982
Sorex araneus,,8316400
Talpa europaea,,7872906
Tursiops truncatus,,2440447
Erinaceus europaeus,,5219616
Sorex cinereus,,2435964
Equus caballus,,2440886
Aphelops fossiger,,9564630
Homo sapiens,,2436436
Macaca fascicularis,,2436603
Antechinus stuartii,,2435370
Isoodon macrourus,,2435304
Macrotis lagotis,,5219460
Didelphis virginiana,,2439923
Elephas primigenius,,5816436
Tachyglossus aculeatus ,,2433378
Ornithorhynchus anatinus,,2433376
Loxodonta africana,,2435350
Sorex minutus,,7571319
Crocidura russula,,2435654
Blarina brevicauda,,2435862
Microtus pennsylvanicus,,2438655
Pipistrellus pipistrellus,,5218465
Vulpes vulpes,,5219243
Cervus elaphus,,2440958
Capra hircus,,2441056
Wallabia bicolor,,2440149
Ondatra zibethicus,,5219858
Oryctolagus cuniculus,,2436940
Myodes glareolus,,5706764
Nyctalus noctula,,5218524
Urocyon cinereoargenteus,,2434566
Odocoileus virginianus,,2440965
Rupicapra rupicapra,,5220170
