Passeriformes,,,,,,,
Emberizidae,Corvidae,Fringillidae,Parulidae,Turdidae ,Paridae,Icteridae,Tyrannidae
Melospiza melodia,Corvus brachyrhynchos,Spinus tristis,Setophaga coronata,Turdus migratorius,Poecile atricapillus,Agelaius phoeniceus,Sayornis phoebe
Melospiza georgiana,Corvus corax,Spinus psaltria,Setophaga petechia,Turdus merula,Baeolophus bicolor,Quiscalus quiscula,Tyrannus tyrannus
Melospiza lincolnii,Corvus corone,Spinus spinus,Setophaga ruticilla,Turdus philomelos,Parus major,,
Zonotrichia albicollis,Corvus cornix,Spinus pinus,Setophaga palmarum,Turdus pilaris,Cyanistes caeruleus,,
Zonotrichia leucophrys,Corvus ossifragus,Haemorhous mexicanus,Setophaga americana,Turdus iliacus,,,
Zonotrichia atricapilla,Corvus frugilegus,Haemorhous purpureus,Setophaga pinus,Sialia sialis,,,
Zonotrichia capensis,Cyanocitta cristata,Fringilla coelebs,Setophaga striata,Sialia mexicana,,,
Junco hyemalis,Cyanocitta stelleri,Fringilla montifringilla,Geothlypis trichas,Catharus guttatus,,,
Spizella passerina,Pica pica,Chloris chloris,Leiothlypis celata,Catharus ustulatus,,,
Spizella pusilla,Pica hudsonia,Carduelis carduelis,Leiothlypis ruficapilla,Hylocichla mustelina,,,
Spizella pallida,Coloeus monedula,Acanthis flammea,Mniotilta varia,Myadestes townsendi,,,
Emberiza schoeniclus,Aphelocoma californica,Pyrrhula pyrrhula,Cardellina pusilla,,,,
Emberiza citrinella,Garrulus glandarius,Linaria cannabina,Seiurus aurocapilla,,,,
Emberiza calandra,Nucifraga caryocatactes,Loxia curvirostra,Parkesia noveboracensis,,,,
Pipilo erythrophthalmus,,Serinus serinus,,,,,
Pipilo maculatus,,,,,,,
Passerculus sandwichensis,,,,,,,
Melozone crissalis,,,,,,,
Spizelloides arborea,,,,,,,
Passerella iliaca,,,,,,,
Ammodramus savannarum,,,,,,,
Chondestes grammacus,,,,,,,
Pooecetes gramineus,,,,,,,
Arremon assimilis,,,,,,,
Amphispiza bilineata,,,,,,,
Aimophila ruficeps,,,,,,,
